Timepoint,Time,Wavelength,Plate,Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, F,0.2822,0.27544,0.280891,0.279607,0.277414,0.275733,0.274402,0.276128,0.28217,0.277043,0.267585,0.272429,0.273447,0.276677,0.278855,0.273859,0.272525,0.271048,0.272763,0.274035,0.27341,0.276346,0.272737,0.276415
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, G,0.284144,0.280018,0.279649,0.275556,0.274026,0.272736,0.281744,0.275361,0.283421,0.280313,0.278039,0.277099,0.280016,0.276421,0.277747,0.275671,0.273182,0.27375,0.275153,0.273102,0.27574,0.274936,0.276342,0.274538
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, H,0.285965,0.274548,0.274315,0.280435,0.279174,0.277678,0.279975,0.278772,0.281525,0.278603,0.27575,0.278131,0.27359,0.279023,0.280358,0.275757,0.274941,0.271575,0.272509,0.276191,0.273305,0.275192,0.274278,0.275885
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, I,0.289071,0.280661,0.279042,0.272202,0.279868,0.270171,0.2772,0.269591,0.279208,0.278253,0.276545,0.270023,0.274284,0.274042,0.273062,0.276598,0.272581,0.265865,0.26884,0.263134,0.274507,0.275123,0.276019,0.273349
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, J,0.286589,0.284108,0.284974,0.28139,0.280745,0.273652,0.273624,0.271807,0.28316,0.275979,0.274557,0.274951,0.274428,0.27671,0.276543,0.272618,0.269389,0.267925,0.269177,0.275702,0.266842,0.266945,0.270113,0.286749
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, K,0.287901,0.28374,0.282119,0.283435,0.281228,0.26469,0.270808,0.275562,0.280554,0.275067,0.278922,0.269458,0.268003,0.270679,0.266984,0.271253,0.267588,0.258177,0.266623,0.257666,0.272007,0.272357,0.270825,0.270502
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, L,0.28344,0.279755,0.278046,0.278696,0.278086,0.272264,0.279492,0.270317,0.282502,0.271779,0.270211,0.271137,0.270119,0.273336,0.274907,0.269666,0.263973,0.257747,0.260976,0.269647,0.260195,0.264007,0.267094,0.274339
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, M,0.285156,0.283155,0.279309,0.282705,0.276861,0.265422,0.269962,0.26579,0.279936,0.274355,0.280217,0.265358,0.266503,0.268061,0.260854,0.273166,0.268433,0.25868,0.261789,0.258536,0.269239,0.265907,0.267404,0.272239
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, N,0.283097,0.287338,0.281501,0.277991,0.27534,0.267163,0.278591,0.275069,0.28162,0.271609,0.267883,0.268583,0.267165,0.274387,0.273799,0.269063,0.263892,0.260845,0.261416,0.266302,0.261693,0.261242,0.263184,0.275041
T0,21/06/2021 16:14:10,750nm,Breathe-Easy, O,0.284955,0.283423,0.279963,0.282452,0.272043,0.266343,0.273051,0.266932,0.274939,0.277338,0.278743,0.26997,0.265289,0.269281,0.263114,0.270445,0.271774,0.263605,0.26078,0.262558,0.266142,0.263404,0.267199,0.270246
