,time,hv,v_lhc,v_pset,v_cbm,v_lpb,v_rib,a_lhc,a_pset,a_cbm,a_lpb,a_rib,a_mai,c_lhc,c_pset,c_cbm,c_lpb,c_rib,c_mai,c_hvi,c_atp,c_nadph,c_pre,c_lip,c_cpm,c_thy,u_lhc,u_pset,u_cbm,u_lpb,u_rib,mu,bm,slk_25,slk_26,rep
0,0.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0
1,0.5,94.0,7.8790828107,1.3382215478,0.58177820904,0.051078425527,0.10856180485,0.14576254503,0.12473834243,0.18856127765,0.027725566821,0.21321226807,0.3,0.14576254503,0.12473834243,0.18856127765,0.027725566821,0.21321226807,0.3,60.250115332,6.9678589053,6.9678589053,3.8884576324,0.47050088746,0.1,0.37050088746,0.14576254503,0.12473834243,0.18856127765,0.027725566821,0.21321226807,0.10856180485,1.0573964326,0.0,0.0,0
2,1.0,93.0,7.9318741861,1.3440453378,0.58349691899,0.051133652451,0.10878932459,0.14535632747,0.1246682144,0.18880734244,0.027738659481,0.21342945621,0.3,0.14535632747,0.1246682144,0.18880734244,0.027738659481,0.21342945621,0.3,60.555839216,6.9910206875,6.9910206875,3.8935248798,0.47002454187,0.1,0.37002454187,0.14535632747,0.1246682144,0.18880734244,0.027738659481,0.21342945621,0.10878932459,1.1182217257,0.0,0.0,0
3,1.5,92.0,7.9820145878,1.3500908438,0.58529601901,0.051191362216,0.10901360194,0.14491517781,0.1246717481,0.18906084735,0.027750308897,0.21360191784,0.3,0.14491517781,0.1246717481,0.18906084735,0.027750308897,0.21360191784,0.3,60.835745505,7.0155908177,7.0155908177,3.8994313306,0.46958692591,0.1,0.36958692591,0.14491517781,0.1246717481,0.18906084735,0.027750308897,0.21360191784,0.10901360194,1.1826861651,0.0,0.0,0
4,2.0,91.0,8.0322751367,1.354900446,0.58685058565,0.051234048016,0.10923444087,0.14449145319,0.12453688263,0.1893548665,0.027760367475,0.21385643021,0.3,0.14449145319,0.12453688263,0.1893548665,0.027760367475,0.21385643021,0.3,61.128840295,7.0312060393,7.0312060393,3.9033668628,0.46902833582,0.1,0.36902833582,0.14449145319,0.12453688263,0.1893548665,0.027760367475,0.21385643021,0.10923444087,1.251013019,0.0,0.0,0
5,2.5,90.0,8.0807916294,1.3604785126,0.58857586986,0.051285868189,0.10945163906,0.14405306101,0.12451797757,0.18962896515,0.027769987203,0.21403000906,0.3,0.14405306101,0.12451797757,0.18962896515,0.027769987203,0.21403000906,0.3,61.399839915,7.0524539368,7.0524539368,3.9089260452,0.46857103858,0.1,0.36857103858,0.14405306101,0.12451797757,0.18962896515,0.027769987203,0.21403000906,0.10945163906,1.3234393204,0.0,0.0,0
6,3.0,89.0,8.1302796984,1.3658371532,0.59018601443,0.05133497118,0.10966498445,0.14365005784,0.12445716377,0.18987649887,0.027781039514,0.21423524001,0.3,0.14365005784,0.12445716377,0.18987649887,0.027781039514,0.21423524001,0.3,61.682793091,7.0729152306,7.0729152306,3.9136107204,0.46810722161,0.1,0.36810722161,0.14365005784,0.12445716377,0.18987649887,0.027781039514,0.21423524001,0.10966498445,1.4002166912,0.0,0.0,0
7,3.5,88.0,8.1830426394,1.3725540567,0.59255971632,0.051400132584,0.10987419349,0.14332361473,0.12448534889,0.19029564834,0.027777737974,0.21411765006,0.3,0.14332361473,0.12448534889,0.19029564834,0.027777737974,0.21411765006,0.3,61.984423866,7.0989767078,7.0989767078,3.9252655862,0.46780896362,0.1,0.36780896362,0.14332361473,0.12448534889,0.19029564834,0.027777737974,0.21411765006,0.10987419349,1.4816121619,0.0,0.0,0
8,4.0,87.0,8.2257927685,1.3759955672,0.5933652872,0.051426401079,0.11007921265,0.1428428648,0.1243334516,0.19041313506,0.027798851903,0.21461169664,0.3,0.1428428648,0.1243334516,0.19041313506,0.027798851903,0.21461169664,0.3,62.226073717,7.1097009252,7.1097009252,3.9231718964,0.4671763164,0.1,0.3671763164,0.1428428648,0.1243334516,0.19041313506,0.027798851903,0.21461169664,0.11007921265,1.5679092709,0.0,0.0,0
9,4.5,86.0,8.2721404003,1.3811203992,0.59488695498,0.051472666613,0.11027962468,0.14244798519,0.1242988573,0.19064181549,0.027809213141,0.21480212887,0.3,0.14244798519,0.1242988573,0.19064181549,0.027809213141,0.21480212887,0.3,62.486792288,7.1294533916,7.1294533916,3.9276037158,0.4667468425,0.1,0.3667468425,0.14244798519,0.1242988573,0.19064181549,0.027809213141,0.21480212887,0.11027962468,1.6594087584,0.0,0.0,0
10,5.0,85.0,8.3194626224,1.3864840949,0.59651627964,0.051521788344,0.11047523251,0.14209403767,0.12427102148,0.19088644977,0.027817334996,0.21493115608,0.3,0.14209403767,0.12427102148,0.19088644977,0.027817334996,0.21493115608,0.3,62.755953259,7.150632747,7.150632747,3.9331825688,0.46636505916,0.1,0.36636505916,0.14209403767,0.12427102148,0.19088644977,0.027817334996,0.21493115608,0.11047523251,1.756429751,0.0,0.0,0
11,5.5,84.0,8.3661563484,1.3914984963,0.59793707437,0.051566861909,0.1106657769,0.14175495456,0.12421441151,0.19107787145,0.027828685089,0.21512407739,0.3,0.14175495456,0.12421441151,0.19107787145,0.027828685089,0.21512407739,0.3,63.024523458,7.1707933936,7.1707933936,3.9371199285,0.46596936608,0.1,0.36596936608,0.14175495456,0.12421441151,0.19107787145,0.027828685089,0.21512407739,0.1106657769,1.8593107874,0.0,0.0,0
12,6.0,83.0,8.4133251015,1.3974786577,0.59976561765,0.05162334001,0.11085093594,0.14145111389,0.12424941966,0.19133072592,0.027833681856,0.21513505868,0.3,0.14145111389,0.12424941966,0.19133072592,0.027833681856,0.21513505868,0.3,63.290818287,7.1962679735,7.1962679735,3.9448592658,0.46570053355,0.1,0.36570053355,0.14145111389,0.12424941966,0.19133072592,0.027833681856,0.21513505868,0.11085093594,1.9684108817,0.0,0.0,0
13,6.5,82.0,8.4366131307,1.3998878609,0.60044865192,0.051638190907,0.11103043577,0.14077756929,0.12430383427,0.19149785711,0.027848189458,0.21557254987,0.3,0.14077756929,0.12430383427,0.19149785711,0.027848189458,0.21557254987,0.3,63.376543736,7.2001807748,7.2001807748,3.9428830665,0.46508140356,0.1,0.36508140356,0.14077756929,0.12430383427,0.19149785711,0.027848189458,0.21557254987,0.11103043577,2.0841107437,0.0,0.0,0
14,7.0,81.0,8.494045563,1.4047760394,0.60205345997,0.051682264048,0.11120414314,0.14070594436,0.12404530132,0.19177266626,0.027851189363,0.21562489869,0.3,0.14070594436,0.12404530132,0.19177266626,0.027851189363,0.21562489869,0.3,63.750048547,7.218459284,7.218459284,3.9491968591,0.46475124569,0.1,0.36475124569,0.14070594436,0.12404530132,0.19177266626,0.027851189363,0.21562489869,0.11120414314,2.2068141839,0.0,0.0,0
15,7.5,80.0,8.5341812287,1.4095135414,0.60338701026,0.051724805796,0.111371516,0.14037964025,0.12405514213,0.19194259948,0.027860468805,0.21576214934,0.3,0.14037964025,0.12405514213,0.19194259948,0.027860468805,0.21576214934,0.3,63.972081402,7.2381750746,7.2381750746,3.9533509491,0.46443478238,0.1,0.36443478238,0.14037964025,0.12405514213,0.19194259948,0.027860468805,0.21576214934,0.111371516,2.336948958,0.0,0.0,0
16,8.0,79.0,8.5711164571,1.4132805411,0.60459445475,0.051756347163,0.11153230339,0.14003680032,0.12401124305,0.19216535947,0.027866292361,0.21592030479,0.3,0.14003680032,0.12401124305,0.19216535947,0.027866292361,0.21592030479,0.3,64.177244602,7.2506893675,7.2506893675,3.9567532523,0.46404804337,0.1,0.36404804337,0.14003680032,0.12401124305,0.19216535947,0.027866292361,0.21592030479,0.11153230339,2.4749684225,0.0,0.0,0
17,8.5,78.0,8.6107842841,1.4174474151,0.60582762937,0.051792875185,0.11168616665,0.1397766569,0.12395915515,0.19234786249,0.027873218302,0.21604310716,0.3,0.1397766569,0.12395915515,0.19234786249,0.027873218302,0.21604310716,0.3,64.406694982,7.2669678804,7.2669678804,3.9606390014,0.46373581205,0.1,0.36373581205,0.1397766569,0.12395915515,0.19234786249,0.027873218302,0.21604310716,0.11168616665,2.621352848,0.0,0.0,0
18,9.0,77.0,8.6460690972,1.4212490776,0.60693969233,0.05182555635,0.11183274412,0.13948556047,0.12393467262,0.1925145075,0.027880486426,0.21618477298,0.3,0.13948556047,0.12393467262,0.1925145075,0.027880486426,0.21618477298,0.3,64.603798076,7.2814933735,7.2814933735,3.9637889183,0.46342023309,0.1,0.36342023309,0.13948556047,0.12393467262,0.1925145075,0.027880486426,0.21618477298,0.11183274412,2.7766108536,0.0,0.0,0
19,9.5,76.0,8.6797998752,1.4247194568,0.60796839013,0.051854848537,0.11197165826,0.13921224825,0.12389466062,0.19267721314,0.027887184747,0.21632869325,0.3,0.13921224825,0.12389466062,0.19267721314,0.027887184747,0.21632869325,0.3,64.793899914,7.2942660611,7.2942660611,3.9665562718,0.46310690887,0.1,0.36310690887,0.13921224825,0.12389466062,0.19267721314,0.027887184747,0.21632869325,0.11197165826,2.9412809037,0.0,0.0,0
20,10.0,75.0,8.7127942987,1.4281742177,0.60903974693,0.051884450204,0.11210251883,0.1389723477,0.12385802174,0.19285379903,0.027891669484,0.21642416204,0.3,0.1389723477,0.12385802174,0.19285379903,0.027891669484,0.21642416204,0.3,64.981769877,7.3070121824,7.3070121824,3.9700515435,0.46283036944,0.1,0.36283036944,0.1389723477,0.12385802174,0.19285379903,0.027891669484,0.21642416204,0.11210251883,3.115932865,0.0,0.0,0
21,10.5,74.0,8.743103926,1.4314048411,0.60998312789,0.051912009251,0.11222491457,0.13873739978,0.12383376321,0.19299416018,0.027897527277,0.21653714954,0.3,0.13873739978,0.12383376321,0.19299416018,0.027897527277,0.21653714954,0.3,65.15219114,7.3194238228,7.3194238228,3.9727916548,0.462571163,0.1,0.362571163,0.13873739978,0.12383376321,0.19299416018,0.027897527277,0.21653714954,0.11222491457,3.3011696034,0.0,0.0,0
22,11.0,73.0,8.7716523544,1.4344140112,0.61086432084,0.051937614367,0.11233841592,0.13852500739,0.12380672428,0.19312590832,0.027902820191,0.21663953982,0.3,0.13852500739,0.12380672428,0.19312590832,0.027902820191,0.21663953982,0.3,65.313706651,7.3309711876,7.3309711876,3.9753835488,0.46233173167,0.1,0.36233173167,0.13852500739,0.12380672428,0.19312590832,0.027902820191,0.21663953982,0.11233841592,3.4976286335,0.0,0.0,0
