Timepoint,Time,Wavelength,Plate,Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
T0,09/06/2021 16:59:50,750nm,5000k, C,0.30708,0.304501,0.305612,0.303104,0.305522,0.303331,0.305786,0.306799,0.308969,0.303589,0.302526,0.302644,0.303148,0.302965,0.302828,0.29579,0.302536,0.295024,0.292153,0.298639,0.297244,0.298483,0.301191,0.296183
T0,09/06/2021 16:59:50,750nm,5000k, D,0.302276,0.304565,0.303615,0.306611,0.304995,0.302369,0.301449,0.299914,0.304846,0.30442,0.302074,0.304889,0.302564,0.299294,0.302093,0.292713,0.297145,0.2978,0.295689,0.298077,0.298703,0.299633,0.299954,0.299836
T0,09/06/2021 16:59:50,750nm,5000k, E,0.306508,0.302486,0.303396,0.305379,0.306809,0.304199,0.302072,0.304821,0.305299,0.305343,0.303877,0.2983,0.302827,0.303531,0.303183,0.29094,0.29402,0.286658,0.293242,0.299637,0.298195,0.298273,0.296722,0.29439
T0,09/06/2021 16:59:50,750nm,5000k, F,0.305116,0.307857,0.305665,0.305543,0.306212,0.303888,0.302163,0.302398,0.301585,0.306191,0.306173,0.305962,0.30734,0.297675,0.306368,0.291149,0.29206,0.295556,0.29208,0.298028,0.29737,0.297366,0.301881,0.300106
T0,09/06/2021 16:59:50,750nm,5000k, G,0.308741,0.305088,0.308016,0.306527,0.306962,0.307948,0.307313,0.303564,0.306851,0.301834,0.303708,0.299465,0.299493,0.302244,0.302185,0.291984,0.291613,0.285519,0.290063,0.294933,0.29741,0.292021,0.29465,0.287193
T0,09/06/2021 16:59:50,750nm,5000k, H,0.307314,0.306529,0.305746,0.30427,0.307936,0.305948,0.304926,0.302443,0.302816,0.304058,0.305991,0.302487,0.305262,0.299478,0.305099,0.292509,0.290137,0.292451,0.287162,0.292498,0.293123,0.293158,0.29585,0.289151
T0,09/06/2021 16:59:50,750nm,5000k, I,0.313632,0.308937,0.310012,0.307652,0.307811,0.308922,0.306479,0.306593,0.305071,0.306497,0.308289,0.302149,0.298518,0.3031,0.304614,0.296243,0.292653,0.288913,0.291336,0.294822,0.299784,0.296669,0.294808,0.29096
T0,09/06/2021 16:59:50,750nm,5000k, J,0.310251,0.307176,0.309629,0.308997,0.311075,0.306686,0.309794,0.30566,0.304351,0.307981,0.303965,0.304984,0.306789,0.300265,0.304943,0.291051,0.295345,0.294571,0.2909,0.295727,0.297659,0.294403,0.299724,0.291021
T0,09/06/2021 16:59:50,750nm,5000k, K,0.311364,0.311298,0.308799,0.309798,0.310026,0.307679,0.305497,0.307971,0.306957,0.305926,0.305861,0.304173,0.302217,0.302561,0.300615,0.297803,0.290499,0.289523,0.29385,0.297988,0.297295,0.294441,0.294099,0.292799
T0,09/06/2021 16:59:50,750nm,5000k, L,0.308374,0.314424,0.308249,0.31006,0.310634,0.309551,0.307492,0.311109,0.308646,0.30847,0.307149,0.304426,0.304456,0.300972,0.299093,0.292983,0.29396,0.291741,0.294539,0.297135,0.294318,0.295439,0.299261,0.29295
T0,09/06/2021 16:59:50,750nm,5000k, M,0.311847,0.308757,0.311311,0.308637,0.306693,0.30837,0.309643,0.307442,0.307623,0.30574,0.304748,0.305371,0.301298,0.306498,0.301915,0.298572,0.298297,0.286912,0.292558,0.294388,0.291145,0.290606,0.294894,0.290511
T0,09/06/2021 16:59:50,750nm,5000k, N,0.30847,0.309809,0.310212,0.308509,0.310459,0.310793,0.309383,0.308556,0.305995,0.309433,0.307028,0.304336,0.303622,0.303062,0.301554,0.293772,0.298839,0.292701,0.291869,0.293995,0.299439,0.292325,0.297085,0.293117
T0,09/06/2021 16:59:50,750nm,5000k, O,0.313722,0.308269,0.311844,0.311888,0.308872,0.310362,0.307698,0.308603,0.308989,0.309009,0.306611,0.306879,0.305193,0.30579,0.300316,0.297355,0.29152,0.288502,0.296311,0.295969,0.294499,0.294889,0.299297,0.295611
T0,09/06/2021 16:59:50,750nm,5000k, P,0.313713,0.311917,0.310762,0.309873,0.307563,0.308264,0.305132,0.305341,0.305546,0.312026,0.30489,0.303613,0.303518,0.301576,0.301056,0.289662,0.299045,0.293345,0.29443,0.290975,0.293612,0.293879,0.286719,0.304621
T0,09/06/2021 16:59:50,750nm,6000k, A,0.302522,0.300859,0.300163,0.298107,0.300104,0.297706,0.301462,0.302521,0.30352,0.302914,0.304045,0.299966,0.303606,0.299277,0.302694,0.303419,0.301784,0.303493,0.305204,0.30464,0.302863,0.30537,0.313699,0.311332
T0,09/06/2021 16:59:50,750nm,6000k, B,0.301724,0.298883,0.297794,0.296667,0.300833,0.297039,0.307668,0.305118,0.301382,0.307479,0.303043,0.302702,0.303596,0.302118,0.301558,0.299504,0.306785,0.302201,0.300912,0.305575,0.30401,0.302775,0.305176,0.311986
T0,09/06/2021 16:59:50,750nm,6000k, C,0.29914,0.297536,0.306858,0.302037,0.301414,0.303867,0.301192,0.30181,0.301504,0.300154,0.301466,0.297228,0.301806,0.298309,0.300079,0.298186,0.300146,0.300023,0.301772,0.303422,0.302756,0.302866,0.309474,0.306564
T0,09/06/2021 16:59:50,750nm,6000k, D,0.303629,0.303838,0.302407,0.302748,0.305037,0.299903,0.304729,0.29944,0.299598,0.303287,0.299409,0.301677,0.300925,0.298848,0.299274,0.297686,0.300536,0.299542,0.301434,0.301575,0.303593,0.295189,0.302187,0.3071
T0,09/06/2021 16:59:50,750nm,6000k, E,0.300941,0.298258,0.301626,0.307668,0.304133,0.302258,0.302529,0.301314,0.306919,0.298994,0.304357,0.301089,0.297779,0.301433,0.303489,0.301292,0.300271,0.298601,0.299022,0.308636,0.304802,0.295592,0.304084,0.308428
T0,09/06/2021 16:59:50,750nm,6000k, F,0.302618,0.299796,0.302876,0.304327,0.3057,0.3031,0.305656,0.303009,0.303008,0.302233,0.300213,0.301504,0.302996,0.304033,0.303351,0.299066,0.29813,0.301191,0.302564,0.295654,0.294734,0.29586,0.299046,0.311439
T0,09/06/2021 16:59:50,750nm,6000k, G,0.301122,0.298587,0.302341,0.301962,0.303394,0.303475,0.302639,0.299988,0.303432,0.296716,0.299409,0.297082,0.296229,0.298096,0.298587,0.299967,0.299578,0.297812,0.293719,0.309331,0.301621,0.295841,0.307462,0.304883
T0,09/06/2021 16:59:50,750nm,6000k, H,0.302864,0.302804,0.302989,0.302114,0.302605,0.302136,0.300033,0.301229,0.300989,0.299996,0.297863,0.296957,0.297849,0.301083,0.301061,0.297166,0.292546,0.294741,0.293935,0.292769,0.288385,0.296998,0.294588,0.302841
T0,09/06/2021 16:59:50,750nm,6000k, I,0.301308,0.302588,0.305733,0.303903,0.303551,0.306179,0.301567,0.301623,0.304326,0.300388,0.301081,0.300512,0.30051,0.302102,0.300544,0.30111,0.303866,0.304041,0.29825,0.311459,0.299803,0.298119,0.305839,0.303181
T0,09/06/2021 16:59:50,750nm,6000k, J,0.307435,0.303523,0.305073,0.30247,0.305101,0.302676,0.301294,0.301641,0.300931,0.301799,0.321258,0.30224,0.302078,0.305484,0.304002,0.301386,0.300264,0.298868,0.300156,0.295045,0.296036,0.297582,0.297504,0.31033
T0,09/06/2021 16:59:50,750nm,6000k, K,0.306601,0.304636,0.303861,0.303424,0.303439,0.303809,0.30221,0.305213,0.304369,0.307605,0.302261,0.29922,0.305194,0.305146,0.301891,0.302492,0.303621,0.298256,0.299343,0.303827,0.298287,0.295705,0.307682,0.298492
T0,09/06/2021 16:59:50,750nm,6000k, L,0.30572,0.302881,0.304631,0.306734,0.302746,0.299824,0.302165,0.307053,0.3047,0.305469,0.302352,0.303756,0.302097,0.305879,0.30268,0.300943,0.298977,0.300792,0.299123,0.298258,0.299033,0.298169,0.299887,0.305426
T0,09/06/2021 16:59:50,750nm,6000k, M,0.305154,0.308053,0.305246,0.304266,0.302126,0.302055,0.303549,0.303407,0.302598,0.30436,0.296385,0.298568,0.29689,0.302444,0.296488,0.297461,0.298327,0.296685,0.29479,0.300112,0.296286,0.292674,0.300893,0.293004
T0,09/06/2021 16:59:50,750nm,6000k, N,0.310184,0.305495,0.303316,0.302336,0.304034,0.30352,0.303165,0.304021,0.304829,0.303344,0.302607,0.300501,0.299324,0.299451,0.298171,0.297956,0.297013,0.2963,0.297396,0.294373,0.297029,0.297624,0.297178,0.303051
T0,09/06/2021 16:59:50,750nm,6000k, O,0.310938,0.300811,0.30463,0.303395,0.305961,0.305726,0.305038,0.308465,0.301934,0.303834,0.297404,0.296784,0.295839,0.298639,0.29764,0.296767,0.29742,0.296709,0.293058,0.296403,0.296696,0.293259,0.297011,0.295849
T0,09/06/2021 16:59:50,750nm,6000k, P,0.314128,0.30814,0.311166,0.306689,0.307176,0.306575,0.304266,0.305256,0.303932,0.301459,0.29994,0.300618,0.300752,0.300191,0.297004,0.298541,0.291633,0.292344,0.292613,0.291348,0.292259,0.291609,0.293053,0.298377
T1,10/06/2021 14:00:37,750nm,4000k, A,0.218402,0.215672,0.224198,0.231628,0.224621,0.226681,0.228164,0.225464,0.226373,0.232056,0.230558,0.232198,0.22917,0.229397,0.228393,0.230213,0.234236,0.2295,0.230629,0.23488,0.24086,0.237183,0.231308,0.230019
T1,10/06/2021 14:00:37,750nm,4000k, B,0.210328,0.217714,0.224868,0.226936,0.229391,0.22423,0.222535,0.221919,0.223003,0.227079,0.229178,0.226462,0.231997,0.225892,0.22999,0.234582,0.232589,0.230183,0.232674,0.231375,0.2359,0.232252,0.22457,0.23822
T1,10/06/2021 14:00:37,750nm,4000k, C,0.216755,0.2167,0.222041,0.230763,0.234661,0.233836,0.233916,0.233054,0.234583,0.234949,0.236477,0.235666,0.240085,0.23857,0.242335,0.240103,0.24258,0.236926,0.237174,0.231914,0.229855,0.234051,0.232303,0.241003
T1,10/06/2021 14:00:37,750nm,4000k, D,0.221554,0.2126,0.220902,0.231993,0.238182,0.242251,0.240648,0.241762,0.240909,0.243532,0.247564,0.244704,0.24783,0.247818,0.246094,0.245939,0.247169,0.241988,0.236417,0.237812,0.233012,0.2343,0.226359,0.244591
T1,10/06/2021 14:00:37,750nm,4000k, E,0.212904,0.21034,0.216717,0.231519,0.240318,0.241741,0.244313,0.245174,0.247387,0.246143,0.249177,0.249436,0.250277,0.244442,0.245967,0.245675,0.245226,0.243501,0.238496,0.241813,0.237796,0.235044,0.229723,0.233237
T1,10/06/2021 14:00:37,750nm,4000k, F,0.208545,0.211952,0.218663,0.228401,0.244189,0.2429,0.246625,0.249713,0.249173,0.251468,0.251334,0.253148,0.252804,0.2473,0.24387,0.245079,0.244029,0.241512,0.243639,0.242343,0.234878,0.235868,0.229234,0.233438
T1,10/06/2021 14:00:37,750nm,4000k, G,0.219095,0.211019,0.216218,0.227528,0.233981,0.239512,0.240472,0.243738,0.247907,0.250295,0.249633,0.248013,0.249688,0.249498,0.247542,0.24689,0.243025,0.243203,0.239781,0.235134,0.23244,0.229247,0.224809,0.231144
T1,10/06/2021 14:00:37,750nm,4000k, H,0.203471,0.202593,0.217265,0.226665,0.23247,0.235428,0.24073,0.242718,0.242943,0.242852,0.246314,0.245593,0.249558,0.24957,0.245481,0.242953,0.242458,0.24135,0.237953,0.236176,0.229752,0.227666,0.222164,0.242886
T1,10/06/2021 14:00:37,750nm,4000k, I,0.226396,0.211327,0.219134,0.228453,0.232843,0.237577,0.239991,0.241915,0.240639,0.242279,0.244568,0.244358,0.244431,0.246909,0.241951,0.244102,0.243747,0.240683,0.238056,0.238233,0.229731,0.224143,0.221929,0.228406
T1,10/06/2021 14:00:37,750nm,4000k, J,0.218403,0.218519,0.225426,0.228592,0.236904,0.234087,0.237956,0.238073,0.237567,0.244996,0.242622,0.24344,0.246457,0.248018,0.247168,0.245734,0.243259,0.242149,0.242775,0.238228,0.232745,0.226469,0.226877,0.232676
T1,10/06/2021 14:00:37,750nm,4000k, K,0.218548,0.222671,0.222617,0.22525,0.227215,0.23494,0.232361,0.229244,0.232462,0.237608,0.236906,0.237081,0.236822,0.241689,0.239394,0.242206,0.240194,0.240797,0.23412,0.233044,0.232613,0.227643,0.224906,0.22537
T1,10/06/2021 14:00:37,750nm,4000k, L,0.216422,0.218682,0.221655,0.223429,0.227858,0.224947,0.227595,0.229647,0.231241,0.233451,0.234112,0.23663,0.236269,0.235614,0.233493,0.236634,0.23755,0.233552,0.234781,0.233136,0.233011,0.230057,0.229571,0.228074
T1,10/06/2021 14:00:37,750nm,4000k, M,0.23199,0.225353,0.225829,0.226904,0.225723,0.225515,0.229558,0.230931,0.225215,0.229787,0.226194,0.227206,0.228444,0.228603,0.232563,0.234769,0.232585,0.237972,0.227021,0.23444,0.227804,0.228862,0.230389,0.226063
T1,10/06/2021 14:00:37,750nm,4000k, N,0.226314,0.219067,0.224586,0.228187,0.221243,0.221436,0.2248,0.223704,0.224406,0.227835,0.227399,0.225466,0.227454,0.228083,0.224754,0.230506,0.230065,0.229386,0.226406,0.228779,0.23315,0.22899,0.226287,0.229154
T1,10/06/2021 14:00:37,750nm,4000k, O,0.222153,0.225507,0.226857,0.226208,0.222758,0.220458,0.228265,0.224856,0.22327,0.225107,0.227468,0.223952,0.219617,0.221292,0.227813,0.224408,0.224497,0.226244,0.222337,0.225562,0.225299,0.227302,0.2279,0.233101
T1,10/06/2021 14:00:37,750nm,4000k, P,0.221626,0.214927,0.224561,0.224327,0.222026,0.220311,0.225825,0.224856,0.221418,0.225651,0.221231,0.230477,0.225442,0.227449,0.228514,0.223234,0.231605,0.23466,0.22156,0.230817,0.23357,0.238374,0.242602,0.243546
T1,10/06/2021 14:00:37,750nm,5000k, A,0.225168,0.222279,0.225995,0.226717,0.234905,0.228214,0.222741,0.227069,0.225236,0.240916,0.237694,0.235096,0.238679,0.24236,0.240436,0.241285,0.239374,0.241252,0.239138,0.243609,0.245328,0.245188,0.245361,0.241982
T1,10/06/2021 14:00:37,750nm,5000k, B,0.217499,0.225073,0.224242,0.22059,0.222927,0.22298,0.222539,0.22218,0.229275,0.234352,0.240103,0.241749,0.243812,0.241295,0.242962,0.24269,0.242337,0.245309,0.243383,0.242015,0.242104,0.235836,0.237421,0.248689
T1,10/06/2021 14:00:37,750nm,5000k, C,0.23331,0.222404,0.228836,0.237407,0.231795,0.230484,0.233566,0.238799,0.237698,0.241866,0.250603,0.247742,0.248188,0.251553,0.253235,0.249906,0.248552,0.251764,0.251345,0.245365,0.243199,0.237736,0.23613,0.24516
T1,10/06/2021 14:00:37,750nm,5000k, D,0.219104,0.222933,0.229257,0.234559,0.240342,0.239916,0.240861,0.246845,0.24772,0.250931,0.253894,0.24826,0.250351,0.254247,0.250728,0.249319,0.253405,0.253675,0.249291,0.246989,0.243381,0.23723,0.23512,0.252438
T1,10/06/2021 14:00:37,750nm,5000k, E,0.218172,0.218903,0.236135,0.240126,0.249254,0.248681,0.247745,0.252084,0.247281,0.256271,0.255273,0.255146,0.254834,0.255105,0.255221,0.253182,0.253611,0.248726,0.25022,0.24708,0.247279,0.24136,0.2431,0.245971
T1,10/06/2021 14:00:37,750nm,5000k, F,0.211657,0.219037,0.238353,0.244333,0.249851,0.251597,0.249189,0.251246,0.259072,0.258908,0.260649,0.254094,0.256857,0.258461,0.25326,0.25155,0.252716,0.246547,0.247585,0.248534,0.244082,0.240791,0.234331,0.246622
T1,10/06/2021 14:00:37,750nm,5000k, G,0.215595,0.224341,0.235061,0.243337,0.244493,0.24447,0.250895,0.25723,0.250643,0.258082,0.256384,0.256404,0.254267,0.253179,0.252892,0.249792,0.247836,0.246872,0.245025,0.245242,0.239976,0.238151,0.230107,0.238115
T1,10/06/2021 14:00:37,750nm,5000k, H,0.218959,0.221995,0.235855,0.240804,0.243575,0.24392,0.240242,0.247264,0.252562,0.253642,0.256059,0.25272,0.250946,0.25651,0.251885,0.24719,0.24821,0.246265,0.247686,0.242004,0.23777,0.237725,0.228121,0.236623
T1,10/06/2021 14:00:37,750nm,5000k, I,0.21422,0.220504,0.234494,0.237608,0.237275,0.236344,0.242409,0.241127,0.242573,0.24917,0.248962,0.252059,0.249732,0.251844,0.25064,0.243492,0.246856,0.246003,0.245065,0.240592,0.23947,0.240047,0.230673,0.236697
T1,10/06/2021 14:00:37,750nm,5000k, J,0.216246,0.224297,0.230352,0.237265,0.238956,0.235904,0.230485,0.236472,0.23967,0.247817,0.252253,0.247149,0.248233,0.2496,0.249911,0.24994,0.250247,0.251971,0.248529,0.246767,0.241688,0.238339,0.230003,0.234566
T1,10/06/2021 14:00:37,750nm,5000k, K,0.226584,0.229998,0.230893,0.238637,0.237796,0.233319,0.233537,0.235714,0.235714,0.246572,0.245146,0.252095,0.250587,0.246832,0.248954,0.246136,0.247548,0.242725,0.243296,0.242805,0.24121,0.236033,0.235782,0.234144
T1,10/06/2021 14:00:37,750nm,5000k, L,0.22951,0.225338,0.231112,0.241202,0.237905,0.230049,0.224297,0.231959,0.233882,0.244461,0.247996,0.244773,0.245115,0.246199,0.251671,0.248906,0.245235,0.246491,0.247181,0.247568,0.243853,0.237231,0.23219,0.235822
T1,10/06/2021 14:00:37,750nm,5000k, M,0.234137,0.225468,0.233815,0.230702,0.230851,0.228438,0.23328,0.233411,0.229583,0.240702,0.24239,0.242513,0.244255,0.241772,0.245635,0.244064,0.245136,0.243987,0.247185,0.245774,0.24326,0.23781,0.232932,0.244718
T1,10/06/2021 14:00:37,750nm,5000k, N,0.232045,0.229783,0.234691,0.238754,0.228915,0.227517,0.22601,0.229055,0.231538,0.233697,0.240382,0.235641,0.238995,0.241173,0.245216,0.239422,0.242115,0.242649,0.241906,0.241737,0.242137,0.236212,0.237679,0.240036
T1,10/06/2021 14:00:37,750nm,5000k, O,0.22846,0.229655,0.229101,0.224894,0.226319,0.230343,0.224235,0.22193,0.217606,0.228401,0.232447,0.234588,0.229911,0.233855,0.238023,0.238811,0.23758,0.24074,0.237557,0.242487,0.246137,0.24048,0.238236,0.243559
T1,10/06/2021 14:00:37,750nm,5000k, P,0.237775,0.230533,0.233029,0.229022,0.22879,0.23234,0.228996,0.227731,0.225442,0.239129,0.230607,0.233335,0.229671,0.235021,0.228294,0.240277,0.235008,0.233161,0.241678,0.242132,0.245953,0.248085,0.249541,0.250052
T1,10/06/2021 14:00:37,750nm,6000k, A,0.241701,0.246078,0.246002,0.24976,0.25427,0.25032,0.250963,0.249853,0.258981,0.256309,0.252445,0.258523,0.254959,0.254376,0.255668,0.257006,0.256079,0.25583,0.25784,0.259111,0.255119,0.258181,0.254886,0.257143
T1,10/06/2021 14:00:37,750nm,6000k, B,0.240842,0.245064,0.24455,0.248651,0.253418,0.252828,0.258362,0.255296,0.253204,0.256318,0.256101,0.253222,0.250774,0.255567,0.257844,0.256684,0.2622,0.258443,0.259259,0.256155,0.252936,0.251783,0.256525,0.262087
T1,10/06/2021 14:00:37,750nm,6000k, C,0.246587,0.243099,0.248425,0.26031,0.258424,0.257174,0.255095,0.259381,0.257597,0.25716,0.257766,0.258736,0.259427,0.261357,0.259847,0.261446,0.260439,0.261718,0.263372,0.25906,0.256362,0.250164,0.254751,0.263792
