plate_ID,timepoint,well,Type,Compound,Concentration,OD,median
gradient1,T0,A01,Compound,Coumaphos,10,0.16585,0.163
gradient1,T0,A02,Compound,Bephenium Hydroxynaphthoate,3,0.15760000000000002,0.163
gradient1,T0,A04,Compound,dl-alpha-methyl-p-tyrosine,12,0.1686,0.163
gradient1,T0,A05,Compound,Bephenium Hydroxynaphthoate,15,0.1676,0.163
gradient1,T0,A06,Compound,Bephenium Hydroxynaphthoate,5,0.1628,0.163
gradient1,T0,A07,Compound,Coumaphos,8,0.1635,0.163
gradient1,T0,A08,Compound,Coumaphos,6,0.16870000000000002,0.163
gradient1,T0,A09,Compound,dl-alpha-methyl-p-tyrosine,15,0.17075,0.163
gradient1,T0,A10,Compound,dl-alpha-methyl-p-tyrosine,3,0.1678,0.163
gradient1,T0,A11,Compound,Coumaphos,5,0.17159999999999995,0.163
gradient1,T0,A12,Compound,Coumaphos,15,0.18465,0.163
gradient1,T0,A13,Compound,dl-alpha-methyl-p-tyrosine,4,0.1681,0.163
gradient1,T0,A14,Compound,Bephenium Hydroxynaphthoate,0.1,0.16325,0.163
gradient1,T0,A15,Compound,dl-alpha-methyl-p-tyrosine,3,0.1684,0.163
gradient1,T0,A16,Compound,Bephenium Hydroxynaphthoate,4,0.1662,0.163
gradient1,T0,A17,Compound,Bephenium Hydroxynaphthoate,6,0.16945,0.163
gradient1,T0,A18,Compound,dl-alpha-methyl-p-tyrosine,5,0.16260000000000002,0.163
gradient1,T0,A19,Compound,Coumaphos,5,0.16645,0.163
gradient1,T0,A20,Compound,dl-alpha-methyl-p-tyrosine,2,0.16135,0.163
gradient1,T0,A21,Compound,Coumaphos,4,0.1692,0.163
gradient1,T0,A22,Compound,Bephenium Hydroxynaphthoate,5,0.1603,0.163
gradient1,T0,A23,Compound,dl-alpha-methyl-p-tyrosine,15,0.16265000000000002,0.163
gradient1,T0,A24,Compound,dl-alpha-methyl-p-tyrosine,12,0.16055,0.163
gradient1,T0,B01,Compound,dl-alpha-methyl-p-tyrosine,6,0.16745,0.163
gradient1,T0,B02,Compound,Coumaphos,12,0.17020000000000002,0.163
gradient1,T0,B03,Compound,dl-alpha-methyl-p-tyrosine,2,0.1636,0.163
gradient1,T0,B04,Compound,dl-alpha-methyl-p-tyrosine,6,0.1721,0.163
gradient1,T0,B05,Compound,Bephenium Hydroxynaphthoate,8,0.1673,0.163
gradient1,T0,B06,Compound,Bephenium Hydroxynaphthoate,4,0.1703,0.163
gradient1,T0,B07,Compound,Bephenium Hydroxynaphthoate,1,0.16745,0.163
gradient1,T0,B08,Compound,Bephenium Hydroxynaphthoate,8,0.18175,0.163
gradient1,T0,B09,Compound,Bephenium Hydroxynaphthoate,10,0.1643,0.163
gradient1,T0,B10,Compound,Bephenium Hydroxynaphthoate,1,0.16685,0.163
gradient1,T0,B11,Compound,Bephenium Hydroxynaphthoate,0.5,0.16715000000000002,0.163
gradient1,T0,B12,Compound,Bephenium Hydroxynaphthoate,12,0.16765000000000002,0.163
gradient1,T0,B13,Compound,dl-alpha-methyl-p-tyrosine,6,0.16495,0.163
gradient1,T0,B14,Compound,dl-alpha-methyl-p-tyrosine,8,0.16055,0.163
gradient1,T0,B15,Compound,Coumaphos,4,0.1642,0.163
gradient1,T0,B16,Compound,Bephenium Hydroxynaphthoate,5,0.1627,0.163
gradient1,T0,B17,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.16305,0.163
gradient1,T0,B19,Compound,Bephenium Hydroxynaphthoate,2,0.15894999999999998,0.163
gradient1,T0,B20,Compound,Coumaphos,12,0.15975,0.163
gradient1,T0,B21,Compound,Coumaphos,0.5,0.1557,0.163
gradient1,T0,B22,Compound,Coumaphos,3,0.1587,0.163
gradient1,T0,B23,Compound,dl-alpha-methyl-p-tyrosine,15,0.15805,0.163
gradient1,T0,B24,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.1619,0.163
gradient1,T0,C01,Compound,Bephenium Hydroxynaphthoate,0.1,0.17485,0.163
gradient1,T0,C02,Compound,Coumaphos,0.5,0.16305,0.163
gradient1,T0,C03,Compound,dl-alpha-methyl-p-tyrosine,8,0.17085,0.163
gradient1,T0,C04,Compound,dl-alpha-methyl-p-tyrosine,1,0.16770000000000002,0.163
gradient1,T0,C05,Compound,Bephenium Hydroxynaphthoate,10,0.17504999999999998,0.163
gradient1,T0,C06,Compound,dl-alpha-methyl-p-tyrosine,5,0.1699,0.163
gradient1,T0,C07,Compound,Coumaphos,10,0.17445,0.163
gradient1,T0,C08,Compound,Coumaphos,4,0.177,0.163
gradient1,T0,C09,Compound,Bephenium Hydroxynaphthoate,6,0.16545,0.163
gradient1,T0,C10,Compound,dl-alpha-methyl-p-tyrosine,12,0.16085,0.163
gradient1,T0,C11,Compound,Bephenium Hydroxynaphthoate,3,0.17049999999999998,0.163
gradient1,T0,C12,Compound,dl-alpha-methyl-p-tyrosine,0.5,0.1575,0.163
gradient1,T0,C13,Compound,dl-alpha-methyl-p-tyrosine,3,0.1802,0.163
gradient1,T0,C14,Compound,dl-alpha-methyl-p-tyrosine,5,0.16825,0.163
gradient1,T0,C15,Compound,Coumaphos,8,0.1694,0.163
gradient1,T0,C16,Compound,Coumaphos,6,0.1782,0.163
gradient1,T0,C17,Compound,dl-alpha-methyl-p-tyrosine,6,0.18235,0.163
gradient1,T0,C18,Compound,dl-alpha-methyl-p-tyrosine,1,0.16695,0.163
gradient1,T0,C19,Compound,Coumaphos,0.1,0.1724,0.163
gradient1,T0,C20,Compound,dl-alpha-methyl-p-tyrosine,8,0.1633,0.163
gradient1,T0,C21,Compound,Bephenium Hydroxynaphthoate,10,0.16885,0.163
gradient1,T0,C22,Compound,Bephenium Hydroxynaphthoate,15,0.1643,0.163
gradient1,T0,C23,Compound,dl-alpha-methyl-p-tyrosine,4,0.1699,0.163
gradient1,T0,C24,Compound,dl-alpha-methyl-p-tyrosine,1,0.1026,0.163
gradient1,T0,D01,Compound,Bephenium Hydroxynaphthoate,15,0.1634,0.163
gradient1,T0,D02,Compound,Bephenium Hydroxynaphthoate,1,0.172,0.163
gradient1,T0,D03,Compound,Bephenium Hydroxynaphthoate,0.5,0.16585,0.163
gradient1,T0,D04,Compound,Coumaphos,10,0.1619,0.163
gradient1,T0,D05,Compound,Bephenium Hydroxynaphthoate,3,0.16749999999999998,0.163
gradient1,T0,D06,Compound,dl-alpha-methyl-p-tyrosine,4,0.17959999999999998,0.163
gradient1,T0,D07,Compound,Coumaphos,0.1,0.16770000000000002,0.163
gradient1,T0,D08,Compound,dl-alpha-methyl-p-tyrosine,1,0.1797,0.163
gradient1,T0,D09,Compound,Coumaphos,0.1,0.1653,0.163
gradient1,T0,D10,Compound,Bephenium Hydroxynaphthoate,15,0.17245,0.163
gradient1,T0,D11,Compound,Coumaphos,3,0.16649999999999998,0.163
gradient1,T0,D12,Compound,dl-alpha-methyl-p-tyrosine,0.5,0.1713,0.163
gradient1,T0,D13,Compound,dl-alpha-methyl-p-tyrosine,15,0.16965,0.163
gradient1,T0,D14,Compound,Bephenium Hydroxynaphthoate,12,0.1698,0.163
gradient1,T0,D15,Compound,Bephenium Hydroxynaphthoate,0.1,0.16725,0.163
gradient1,T0,D16,Compound,Bephenium Hydroxynaphthoate,5,0.17615,0.163
gradient1,T0,D18,Compound,Coumaphos,8,0.1767,0.163
gradient1,T0,D19,Compound,Coumaphos,2,0.16904999999999998,0.163
gradient1,T0,D20,Compound,Coumaphos,4,0.17025,0.163
gradient1,T0,D21,Compound,Coumaphos,1,0.16854999999999998,0.163
gradient1,T0,D22,Compound,Coumaphos,12,0.17195,0.163
gradient1,T0,D23,Compound,dl-alpha-methyl-p-tyrosine,10,0.1678,0.163
gradient1,T0,D24,Compound,Bephenium Hydroxynaphthoate,5,0.17645,0.163
gradient1,T0,E01,Compound,Bephenium Hydroxynaphthoate,2,0.17205,0.163
gradient1,T0,E02,Compound,Coumaphos,10,0.17335,0.163
gradient1,T0,E03,Compound,Bephenium Hydroxynaphthoate,3,0.1599,0.163
gradient1,T0,E04,Compound,dl-alpha-methyl-p-tyrosine,12,0.17285,0.163
gradient1,T0,E05,Compound,dl-alpha-methyl-p-tyrosine,12,0.17270000000000002,0.163
gradient1,T0,E07,Compound,Bephenium Hydroxynaphthoate,0.1,0.17205,0.163
gradient1,T0,E08,Compound,dl-alpha-methyl-p-tyrosine,3,0.17035,0.163
gradient1,T0,E09,Compound,dl-alpha-methyl-p-tyrosine,0.5,0.1765,0.163
gradient1,T0,E10,Compound,Coumaphos,10,0.1669,0.163
gradient1,T0,E11,Compound,Bephenium Hydroxynaphthoate,10,0.17270000000000002,0.163
gradient1,T0,E12,Compound,Bephenium Hydroxynaphthoate,4,0.17265000000000005,0.163
gradient1,T0,E13,Compound,Coumaphos,2,0.17354999999999998,0.163
gradient1,T0,E14,Compound,Bephenium Hydroxynaphthoate,10,0.1655,0.163
gradient1,T0,E15,Compound,Bephenium Hydroxynaphthoate,0.5,0.17275,0.163
gradient1,T0,E16,Compound,dl-alpha-methyl-p-tyrosine,15,0.17054999999999998,0.163
gradient1,T0,E17,Compound,Bephenium Hydroxynaphthoate,2,0.18085,0.163
gradient1,T0,E18,Compound,Coumaphos,3,0.1619,0.163
gradient1,T0,E19,Compound,Bephenium Hydroxynaphthoate,8,0.16110000000000002,0.163
gradient1,T0,E20,Compound,Bephenium Hydroxynaphthoate,6,0.1669,0.163
gradient1,T0,E21,Compound,Coumaphos,10,0.173,0.163
gradient1,T0,E22,Compound,Coumaphos,4,0.1684,0.163
gradient1,T0,E23,Compound,Coumaphos,6,0.172,0.163
gradient1,T0,F01,Compound,Bephenium Hydroxynaphthoate,12,0.16625,0.163
gradient1,T0,F02,Compound,Coumaphos,6,0.17065,0.163
gradient1,T0,F03,Compound,Bephenium Hydroxynaphthoate,0.5,0.16675,0.163
gradient1,T0,F04,Compound,dl-alpha-methyl-p-tyrosine,12,0.16754999999999998,0.163
gradient1,T0,F05,Compound,Coumaphos,1,0.16265,0.163
gradient1,T0,F06,Compound,dl-alpha-methyl-p-tyrosine,1,0.1625,0.163
gradient1,T0,F07,Compound,Coumaphos,4,0.16399999999999998,0.163
gradient1,T0,F08,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.17859999999999998,0.163
gradient1,T0,F10,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.17115,0.163
gradient1,T0,F11,Compound,Bephenium Hydroxynaphthoate,0.1,0.17385,0.163
gradient1,T0,F12,Compound,dl-alpha-methyl-p-tyrosine,1,0.16804999999999998,0.163
gradient1,T0,F13,Compound,Coumaphos,3,0.1821,0.163
gradient1,T0,F14,Compound,dl-alpha-methyl-p-tyrosine,0.5,0.16685,0.163
gradient1,T0,F15,Compound,Coumaphos,1,0.17304999999999998,0.163
gradient1,T0,F16,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.18575,0.163
gradient1,T0,F17,Compound,dl-alpha-methyl-p-tyrosine,3,0.1795,0.163
gradient1,T0,F18,Compound,Bephenium Hydroxynaphthoate,8,0.16599999999999998,0.163
gradient1,T0,F19,Compound,dl-alpha-methyl-p-tyrosine,10,0.1622,0.163
gradient1,T0,F20,Compound,Coumaphos,0.1,0.1699,0.163
gradient1,T0,F21,Compound,Bephenium Hydroxynaphthoate,1,0.1741,0.163
gradient1,T0,F22,Compound,Bephenium Hydroxynaphthoate,12,0.17404999999999998,0.163
gradient1,T0,F23,Compound,dl-alpha-methyl-p-tyrosine,5,0.1723,0.163
gradient1,T0,F24,Compound,Bephenium Hydroxynaphthoate,1,0.16155,0.163
gradient1,T0,G02,Compound,Bephenium Hydroxynaphthoate,2,0.1653,0.163
gradient1,T0,G03,Compound,Coumaphos,3,0.1781,0.163
gradient1,T0,G04,Compound,Bephenium Hydroxynaphthoate,1,0.17185,0.163
gradient1,T0,G06,Compound,Bephenium Hydroxynaphthoate,0.1,0.1669,0.163
gradient1,T0,G07,Compound,Coumaphos,15,0.17565,0.163
gradient1,T0,G08,Compound,Coumaphos,10,0.173,0.163
gradient1,T0,G09,Compound,Coumaphos,2,0.1747,0.163
gradient1,T0,G10,Compound,dl-alpha-methyl-p-tyrosine,1,0.16315000000000002,0.163
gradient1,T0,G11,Compound,dl-alpha-methyl-p-tyrosine,0.5,0.1708,0.163
gradient1,T0,G12,Compound,Bephenium Hydroxynaphthoate,0.5,0.16405,0.163
gradient1,T0,G13,Compound,Coumaphos,5,0.19725,0.163
gradient1,T0,G14,Compound,Bephenium Hydroxynaphthoate,0.5,0.16415000000000002,0.163
gradient1,T0,G15,Compound,Bephenium Hydroxynaphthoate,4,0.1699,0.163
gradient1,T0,G16,Compound,Bephenium Hydroxynaphthoate,6,0.16535,0.163
gradient1,T0,G17,Compound,dl-alpha-methyl-p-tyrosine,8,0.16625,0.163
gradient1,T0,G18,Compound,dl-alpha-methyl-p-tyrosine,10,0.1563,0.163
gradient1,T0,G19,Compound,Coumaphos,12,0.16885,0.163
gradient1,T0,G20,Compound,dl-alpha-methyl-p-tyrosine,0.5,0.16049999999999998,0.163
gradient1,T0,G21,Compound,dl-alpha-methyl-p-tyrosine,5,0.1671,0.163
gradient1,T0,G22,Compound,dl-alpha-methyl-p-tyrosine,5,0.1662,0.163
gradient1,T0,G23,Compound,Bephenium Hydroxynaphthoate,8,0.16720000000000002,0.163
gradient1,T0,G24,Compound,Bephenium Hydroxynaphthoate,10,0.16549999999999998,0.163
gradient1,T0,H02,Compound,Bephenium Hydroxynaphthoate,8,0.16305,0.163
gradient1,T0,H03,Compound,dl-alpha-methyl-p-tyrosine,8,0.16085,0.163
gradient1,T0,H04,Compound,Coumaphos,6,0.16294999999999998,0.163
gradient1,T0,H05,Compound,Bephenium Hydroxynaphthoate,15,0.15860000000000002,0.163
gradient1,T0,H07,Compound,dl-alpha-methyl-p-tyrosine,4,0.16999999999999998,0.163
gradient1,T0,H08,Compound,Coumaphos,6,0.17055,0.163
gradient1,T0,H09,Compound,Bephenium Hydroxynaphthoate,1,0.17759999999999998,0.163
gradient1,T0,H10,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.17065000000000002,0.163
gradient1,T0,H11,Compound,Bephenium Hydroxynaphthoate,0.5,0.16244999999999998,0.163
gradient1,T0,H12,Compound,Bephenium Hydroxynaphthoate,10,0.16155,0.163
gradient1,T0,H13,Compound,Coumaphos,1,0.1707,0.163
gradient1,T0,H14,Compound,Coumaphos,2,0.16485,0.163
gradient1,T0,H15,Compound,Coumaphos,0.5,0.1643,0.163
gradient1,T0,H16,Compound,dl-alpha-methyl-p-tyrosine,6,0.1687,0.163
gradient1,T0,H17,Compound,Coumaphos,8,0.1674,0.163
gradient1,T0,H18,Compound,Bephenium Hydroxynaphthoate,10,0.1644,0.163
gradient1,T0,H19,Compound,Coumaphos,12,0.16799999999999998,0.163
gradient1,T0,H20,Compound,dl-alpha-methyl-p-tyrosine,6,0.16949999999999998,0.163
gradient1,T0,H21,Compound,Bephenium Hydroxynaphthoate,6,0.16065000000000002,0.163
gradient1,T0,H22,Compound,Bephenium Hydroxynaphthoate,2,0.16294999999999998,0.163
gradient1,T0,H23,Compound,Bephenium Hydroxynaphthoate,15,0.16394999999999998,0.163
gradient1,T0,H24,Compound,Bephenium Hydroxynaphthoate,4,0.16765,0.163
gradient1,T0,I01,Compound,dl-alpha-methyl-p-tyrosine,8,0.184,0.163
gradient1,T0,I02,Compound,Coumaphos,12,0.16849999999999998,0.163
gradient1,T0,I03,Compound,Bephenium Hydroxynaphthoate,3,0.16705,0.163
gradient1,T0,I04,Compound,dl-alpha-methyl-p-tyrosine,3,0.17585,0.163
gradient1,T0,I05,Compound,Bephenium Hydroxynaphthoate,0.5,0.16445,0.163
gradient1,T0,I06,Compound,Bephenium Hydroxynaphthoate,0.5,0.1712,0.163
gradient1,T0,I07,Compound,dl-alpha-methyl-p-tyrosine,8,0.1727,0.163
gradient1,T0,I08,Compound,dl-alpha-methyl-p-tyrosine,4,0.17605,0.163
gradient1,T0,I09,Compound,dl-alpha-methyl-p-tyrosine,3,0.177,0.163
gradient1,T0,I11,Compound,Coumaphos,5,0.1647,0.163
gradient1,T0,I12,Compound,Bephenium Hydroxynaphthoate,6,0.1591,0.163
gradient1,T0,I13,Compound,dl-alpha-methyl-p-tyrosine,10,0.17775000000000002,0.163
gradient1,T0,I14,Compound,Bephenium Hydroxynaphthoate,10,0.15755,0.163
gradient1,T0,I15,Compound,Bephenium Hydroxynaphthoate,0.1,0.16260000000000002,0.163
gradient1,T0,I16,Compound,Coumaphos,1,0.16665000000000002,0.163
gradient1,T0,I17,Compound,Coumaphos,4,0.16865000000000002,0.163
gradient1,T0,I18,Compound,dl-alpha-methyl-p-tyrosine,6,0.1678,0.163
gradient1,T0,I19,Compound,Coumaphos,15,0.1699,0.163
gradient1,T0,I20,Compound,Coumaphos,2,0.16335,0.163
gradient1,T0,I21,Compound,Coumaphos,0.1,0.1652,0.163
gradient1,T0,I22,Compound,Coumaphos,6,0.16895,0.163
gradient1,T0,I23,Compound,Coumaphos,15,0.181,0.163
gradient1,T0,I24,Compound,Bephenium Hydroxynaphthoate,0.5,0.17195,0.163
gradient1,T0,J01,Compound,dl-alpha-methyl-p-tyrosine,2,0.16585,0.163
gradient1,T0,J02,Compound,dl-alpha-methyl-p-tyrosine,1,0.16425,0.163
gradient1,T0,J03,Compound,Coumaphos,1,0.1583,0.163
gradient1,T0,J04,Compound,dl-alpha-methyl-p-tyrosine,15,0.16010000000000002,0.163
gradient1,T0,J05,Compound,Coumaphos,4,0.16185,0.163
gradient1,T0,J06,Compound,Bephenium Hydroxynaphthoate,1,0.16525,0.163
gradient1,T0,J07,Compound,Bephenium Hydroxynaphthoate,8,0.15925,0.163
gradient1,T0,J08,Compound,Bephenium Hydroxynaphthoate,4,0.18175,0.163
gradient1,T0,J10,Compound,Bephenium Hydroxynaphthoate,15,0.16344999999999998,0.163
gradient1,T0,J11,Compound,Coumaphos,15,0.1654,0.163
gradient1,T0,J12,Compound,dl-alpha-methyl-p-tyrosine,3,0.1663,0.163
gradient1,T0,J13,Compound,Bephenium Hydroxynaphthoate,2,0.1644,0.163
gradient1,T0,J14,Compound,dl-alpha-methyl-p-tyrosine,10,0.1625,0.163
gradient1,T0,J15,Compound,Bephenium Hydroxynaphthoate,5,0.16445,0.163
gradient1,T0,J16,Compound,Coumaphos,3,0.1735,0.163
gradient1,T0,J17,Compound,dl-alpha-methyl-p-tyrosine,0.5,0.1727,0.163
gradient1,T0,J18,Compound,Bephenium Hydroxynaphthoate,0.1,0.17120000000000002,0.163
gradient1,T0,J19,Compound,Bephenium Hydroxynaphthoate,5,0.16249999999999998,0.163
gradient1,T0,J20,Compound,Bephenium Hydroxynaphthoate,12,0.17235,0.163
gradient1,T0,J21,Compound,Coumaphos,8,0.16735,0.163
gradient1,T0,J22,Compound,Coumaphos,10,0.17425000000000002,0.163
gradient1,T0,J23,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.1679,0.163
gradient1,T0,J24,Compound,dl-alpha-methyl-p-tyrosine,2,0.1757,0.163
gradient1,T0,K01,Compound,dl-alpha-methyl-p-tyrosine,5,0.1627,0.163
gradient1,T0,K02,Compound,dl-alpha-methyl-p-tyrosine,10,0.15955,0.163
gradient1,T0,K03,Compound,dl-alpha-methyl-p-tyrosine,10,0.17109999999999995,0.163
gradient1,T0,K04,Compound,Bephenium Hydroxynaphthoate,3,0.16899999999999998,0.163
gradient1,T0,K05,Compound,dl-alpha-methyl-p-tyrosine,12,0.16705,0.163
gradient1,T0,K06,Compound,dl-alpha-methyl-p-tyrosine,15,0.1626,0.163
gradient1,T0,K07,Compound,dl-alpha-methyl-p-tyrosine,4,0.17845,0.163
gradient1,T0,K08,Compound,dl-alpha-methyl-p-tyrosine,12,0.16565000000000002,0.163
gradient1,T0,K09,Compound,Bephenium Hydroxynaphthoate,8,0.1653,0.163
gradient1,T0,K10,Compound,Coumaphos,2,0.16065000000000002,0.163
gradient1,T0,K11,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.16265000000000002,0.163
gradient1,T0,K12,Compound,Bephenium Hydroxynaphthoate,0.1,0.16215000000000002,0.163
gradient1,T0,K13,Compound,dl-alpha-methyl-p-tyrosine,6,0.17255,0.163
gradient1,T0,K14,Compound,Coumaphos,8,0.16394999999999998,0.163
gradient1,T0,K15,Compound,Coumaphos,0.5,0.17025,0.163
gradient1,T0,K16,Compound,Bephenium Hydroxynaphthoate,12,0.1628,0.163
gradient1,T0,K17,Compound,Bephenium Hydroxynaphthoate,15,0.16865,0.163
gradient1,T0,K18,Compound,Coumaphos,0.1,0.1654,0.163
gradient1,T0,K21,Compound,Coumaphos,3,0.16360000000000002,0.163
gradient1,T0,K22,Compound,Bephenium Hydroxynaphthoate,4,0.16225,0.163
gradient1,T0,K23,Compound,dl-alpha-methyl-p-tyrosine,5,0.1696,0.163
gradient1,T0,K24,Compound,Coumaphos,0.1,0.16885,0.163
gradient1,T0,L01,Compound,Coumaphos,5,0.1602,0.163
gradient1,T0,L02,Compound,Bephenium Hydroxynaphthoate,1,0.15585,0.163
gradient1,T0,L05,Compound,dl-alpha-methyl-p-tyrosine,2,0.15910000000000002,0.163
gradient1,T0,L06,Compound,Coumaphos,0.5,0.16099999999999998,0.163
gradient1,T0,L07,Compound,dl-alpha-methyl-p-tyrosine,10,0.15710000000000002,0.163
gradient1,T0,L08,Compound,Bephenium Hydroxynaphthoate,4,0.16815,0.163
gradient1,T0,L09,Compound,Coumaphos,6,0.1634,0.163
gradient1,T0,L10,Compound,dl-alpha-methyl-p-tyrosine,15,0.16565000000000002,0.163
gradient1,T0,L11,Compound,Coumaphos,4,0.16215000000000002,0.163
gradient1,T0,L12,Compound,Coumaphos,12,0.1646,0.163
gradient1,T0,L13,Compound,Coumaphos,3,0.16535,0.163
gradient1,T0,L14,Compound,Bephenium Hydroxynaphthoate,12,0.165,0.163
gradient1,T0,L15,Compound,Coumaphos,12,0.16699999999999998,0.163
gradient1,T0,L16,Compound,Bephenium Hydroxynaphthoate,3,0.176,0.163
gradient1,T0,L17,Compound,Coumaphos,8,0.16295,0.163
gradient1,T0,L18,Compound,Coumaphos,0.5,0.16144999999999998,0.163
gradient1,T0,L19,Compound,Coumaphos,1,0.1623,0.163
gradient1,T0,L20,Compound,Bephenium Hydroxynaphthoate,6,0.16110000000000002,0.163
gradient1,T0,L21,Compound,Coumaphos,10,0.1609,0.163
gradient1,T0,L22,Compound,Bephenium Hydroxynaphthoate,5,0.1648,0.163
gradient1,T0,L23,Compound,dl-alpha-methyl-p-tyrosine,0.5,0.164,0.163
gradient1,T0,L24,Compound,Coumaphos,5,0.16165000000000002,0.163
gradient1,T0,M01,Compound,dl-alpha-methyl-p-tyrosine,3,0.15855,0.163
gradient1,T0,M02,Compound,Coumaphos,1,0.15489999999999998,0.163
gradient1,T0,M03,Compound,Bephenium Hydroxynaphthoate,12,0.15999999999999998,0.163
gradient1,T0,M04,Compound,dl-alpha-methyl-p-tyrosine,5,0.15725,0.163
gradient1,T0,M05,Compound,dl-alpha-methyl-p-tyrosine,6,0.15925,0.163
gradient1,T0,M07,Compound,Bephenium Hydroxynaphthoate,12,0.1628,0.163
gradient1,T0,M08,Compound,Bephenium Hydroxynaphthoate,8,0.1639,0.163
gradient1,T0,M09,Compound,Coumaphos,3,0.16675,0.163
gradient1,T0,M10,Compound,Bephenium Hydroxynaphthoate,5,0.1628,0.163
gradient1,T0,M11,Compound,dl-alpha-methyl-p-tyrosine,0.5,0.16870000000000002,0.163
gradient1,T0,M12,Compound,Coumaphos,2,0.16354999999999997,0.163
gradient1,T0,M14,Compound,Coumaphos,0.5,0.1612,0.163
gradient1,T0,M15,Compound,dl-alpha-methyl-p-tyrosine,6,0.1605,0.163
gradient1,T0,M16,Compound,dl-alpha-methyl-p-tyrosine,8,0.1723,0.163
gradient1,T0,M18,Compound,dl-alpha-methyl-p-tyrosine,4,0.15955,0.163
gradient1,T0,M19,Compound,dl-alpha-methyl-p-tyrosine,2,0.15865,0.163
gradient1,T0,M20,Compound,Bephenium Hydroxynaphthoate,2,0.15565,0.163
gradient1,T0,M21,Compound,dl-alpha-methyl-p-tyrosine,12,0.1644,0.163
gradient1,T0,M22,Compound,Bephenium Hydroxynaphthoate,4,0.15415,0.163
gradient1,T0,M23,Compound,Coumaphos,15,0.1646,0.163
gradient1,T0,M24,Compound,dl-alpha-methyl-p-tyrosine,12,0.16065000000000002,0.163
gradient1,T0,N01,Compound,Coumaphos,6,0.1527,0.163
gradient1,T0,N02,Compound,Bephenium Hydroxynaphthoate,2,0.15975,0.163
gradient1,T0,N03,Compound,dl-alpha-methyl-p-tyrosine,1,0.15345,0.163
gradient1,T0,N04,Compound,Coumaphos,15,0.15955000000000005,0.163
gradient1,T0,N05,Compound,Bephenium Hydroxynaphthoate,15,0.1592,0.163
gradient1,T0,N06,Compound,dl-alpha-methyl-p-tyrosine,3,0.15805,0.163
gradient1,T0,N07,Compound,Coumaphos,12,0.162,0.163
gradient1,T0,N08,Compound,Bephenium Hydroxynaphthoate,3,0.15815,0.163
gradient1,T0,N09,Compound,dl-alpha-methyl-p-tyrosine,15,0.16175,0.163
gradient1,T0,N10,Compound,dl-alpha-methyl-p-tyrosine,10,0.15785,0.163
gradient1,T0,N11,Compound,Bephenium Hydroxynaphthoate,6,0.1622,0.163
gradient1,T0,N12,Compound,Coumaphos,8,0.16504999999999995,0.163
gradient1,T0,N13,Compound,Bephenium Hydroxynaphthoate,15,0.1693,0.163
gradient1,T0,N14,Compound,Coumaphos,3,0.1661,0.163
gradient1,T0,N15,Compound,Coumaphos,5,0.16349999999999998,0.163
gradient1,T0,N16,Compound,Bephenium Hydroxynaphthoate,3,0.16895,0.163
gradient1,T0,N17,Compound,dl-alpha-methyl-p-tyrosine,4,0.16205,0.163
gradient1,T0,N18,Compound,Coumaphos,10,0.16405,0.163
gradient1,T0,N19,Compound,dl-alpha-methyl-p-tyrosine,0.1,0.15755,0.163
gradient1,T0,N20,Compound,dl-alpha-methyl-p-tyrosine,8,0.16015,0.163
gradient1,T0,N21,Compound,dl-alpha-methyl-p-tyrosine,5,0.16110000000000002,0.163
gradient1,T0,N22,Compound,dl-alpha-methyl-p-tyrosine,1,0.15910000000000002,0.163
gradient1,T0,N23,Compound,Bephenium Hydroxynaphthoate,8,0.15794999999999998,0.163
gradient1,T0,N24,Compound,dl-alpha-methyl-p-tyrosine,2,0.16015,0.163
gradient1,T0,O02,Compound,Bephenium Hydroxynaphthoate,5,0.153,0.163
gradient1,T0,O04,Compound,Bephenium Hydroxynaphthoate,6,0.16049999999999998,0.163
gradient1,T0,O05,Compound,dl-alpha-methyl-p-tyrosine,10,0.16549999999999998,0.163
gradient1,T0,O06,Compound,dl-alpha-methyl-p-tyrosine,4,0.15765,0.163
gradient1,T0,O07,Compound,Coumaphos,15,0.16799999999999998,0.163
gradient1,T0,O08,Compound,Coumaphos,0.5,0.16445,0.163
gradient1,T0,O09,Compound,Bephenium Hydroxynaphthoate,1,0.16585,0.163
gradient1,T0,O10,Compound,Coumaphos,0.5,0.1614,0.163
gradient1,T0,O11,Compound,Coumaphos,5,0.1645,0.163
gradient1,T0,O12,Compound,Coumaphos,15,0.16344999999999998,0.163
gradient1,T0,O13,Compound,dl-alpha-methyl-p-tyrosine,8,0.16995,0.163
gradient1,T0,O14,Compound,Bephenium Hydroxynaphthoate,6,0.15755000000000002,0.163
gradient1,T0,O15,Compound,dl-alpha-methyl-p-tyrosine,2,0.1619,0.163
gradient1,T0,O16,Compound,dl-alpha-methyl-p-tyrosine,2,0.16645,0.163
gradient1,T0,O17,Compound,Coumaphos,2,0.16535,0.163
gradient1,T0,O18,Compound,Bephenium Hydroxynaphthoate,3,0.16035,0.163
