measurement_ID,row,column,value,well,wavelength,gossypetin,condition,solution
314 nm,G,03,0.320506,G03,314,0,BG11,BG11
315 nm,B,03,0.450772,B03,315,0,UTEX 2973,BG11
315 nm,C,03,0.431797,C03,315,0,UTEX 2973,BG11
315 nm,D,03,0.449133,D03,315,0,UTEX 2973,BG11
315 nm,E,03,0.317306,E03,315,0,BG11,BG11
315 nm,F,03,0.308013,F03,315,0,BG11,BG11
315 nm,G,03,0.313206,G03,315,0,BG11,BG11
316 nm,B,03,0.441479,B03,316,0,UTEX 2973,BG11
316 nm,C,03,0.422895,C03,316,0,UTEX 2973,BG11
316 nm,D,03,0.439718,D03,316,0,UTEX 2973,BG11
316 nm,E,03,0.310575,E03,316,0,BG11,BG11
316 nm,F,03,0.301499,F03,316,0,BG11,BG11
316 nm,G,03,0.306537,G03,316,0,BG11,BG11
317 nm,B,03,0.43079,B03,317,0,UTEX 2973,BG11
317 nm,C,03,0.41271,C03,317,0,UTEX 2973,BG11
317 nm,D,03,0.429052,D03,317,0,UTEX 2973,BG11
317 nm,E,03,0.302821,E03,317,0,BG11,BG11
317 nm,F,03,0.294047,F03,317,0,BG11,BG11
317 nm,G,03,0.298926,G03,317,0,BG11,BG11
318 nm,B,03,0.42107,B03,318,0,UTEX 2973,BG11
318 nm,C,03,0.403551,C03,318,0,UTEX 2973,BG11
318 nm,D,03,0.419475,D03,318,0,UTEX 2973,BG11
318 nm,E,03,0.295732,E03,318,0,BG11,BG11
318 nm,F,03,0.287286,F03,318,0,BG11,BG11
318 nm,G,03,0.292021,G03,318,0,BG11,BG11
319 nm,B,03,0.409897,B03,319,0,UTEX 2973,BG11
319 nm,C,03,0.39293,C03,319,0,UTEX 2973,BG11
319 nm,D,03,0.408263,D03,319,0,UTEX 2973,BG11
319 nm,E,03,0.287808,E03,319,0,BG11,BG11
319 nm,F,03,0.27956,F03,319,0,BG11,BG11
319 nm,G,03,0.284092,G03,319,0,BG11,BG11
320 nm,B,03,0.400253,B03,320,0,UTEX 2973,BG11
320 nm,C,03,0.383727,C03,320,0,UTEX 2973,BG11
320 nm,D,03,0.39867,D03,320,0,UTEX 2973,BG11
320 nm,E,03,0.280773,E03,320,0,BG11,BG11
320 nm,F,03,0.272815,F03,320,0,BG11,BG11
320 nm,G,03,0.277171,G03,320,0,BG11,BG11
321 nm,B,03,0.389302,B03,321,0,UTEX 2973,BG11
321 nm,C,03,0.373203,C03,321,0,UTEX 2973,BG11
321 nm,D,03,0.387687,D03,321,0,UTEX 2973,BG11
321 nm,E,03,0.272823,E03,321,0,BG11,BG11
321 nm,F,03,0.26508,F03,321,0,BG11,BG11
321 nm,G,03,0.269324,G03,321,0,BG11,BG11
322 nm,B,03,0.376706,B03,322,0,UTEX 2973,BG11
322 nm,C,03,0.361253,C03,322,0,UTEX 2973,BG11
322 nm,D,03,0.375129,D03,322,0,UTEX 2973,BG11
322 nm,E,03,0.263846,E03,322,0,BG11,BG11
322 nm,F,03,0.256381,F03,322,0,BG11,BG11
322 nm,G,03,0.260417,G03,322,0,BG11,BG11
323 nm,B,03,0.366413,B03,323,0,UTEX 2973,BG11
323 nm,C,03,0.351311,C03,323,0,UTEX 2973,BG11
323 nm,D,03,0.365008,D03,323,0,UTEX 2973,BG11
323 nm,E,03,0.256314,E03,323,0,BG11,BG11
323 nm,F,03,0.249242,F03,323,0,BG11,BG11
323 nm,G,03,0.253046,G03,323,0,BG11,BG11
324 nm,B,03,0.357258,B03,324,0,UTEX 2973,BG11
324 nm,C,03,0.342654,C03,324,0,UTEX 2973,BG11
324 nm,D,03,0.355728,D03,324,0,UTEX 2973,BG11
324 nm,E,03,0.2497,E03,324,0,BG11,BG11
324 nm,F,03,0.242842,F03,324,0,BG11,BG11
324 nm,G,03,0.246487,G03,324,0,BG11,BG11
325 nm,B,03,0.348218,B03,325,0,UTEX 2973,BG11
325 nm,C,03,0.333934,C03,325,0,UTEX 2973,BG11
325 nm,D,03,0.346662,D03,325,0,UTEX 2973,BG11
325 nm,E,03,0.243169,E03,325,0,BG11,BG11
325 nm,F,03,0.236585,F03,325,0,BG11,BG11
325 nm,G,03,0.240086,G03,325,0,BG11,BG11
326 nm,B,03,0.340564,B03,326,0,UTEX 2973,BG11
326 nm,C,03,0.326647,C03,326,0,UTEX 2973,BG11
326 nm,D,03,0.338992,D03,326,0,UTEX 2973,BG11
326 nm,E,03,0.237734,E03,326,0,BG11,BG11
326 nm,F,03,0.231342,F03,326,0,BG11,BG11
326 nm,G,03,0.23464,G03,326,0,BG11,BG11
327 nm,B,03,0.33295400000000003,B03,327,0,UTEX 2973,BG11
327 nm,C,03,0.319411,C03,327,0,UTEX 2973,BG11
327 nm,D,03,0.331409,D03,327,0,UTEX 2973,BG11
327 nm,E,03,0.232256,E03,327,0,BG11,BG11
327 nm,F,03,0.22612,F03,327,0,BG11,BG11
327 nm,G,03,0.22937,G03,327,0,BG11,BG11
328 nm,B,03,0.326578,B03,328,0,UTEX 2973,BG11
328 nm,C,03,0.313267,C03,328,0,UTEX 2973,BG11
328 nm,D,03,0.324894,D03,328,0,UTEX 2973,BG11
328 nm,E,03,0.227464,E03,328,0,BG11,BG11
328 nm,F,03,0.221583,F03,328,0,BG11,BG11
328 nm,G,03,0.224677,G03,328,0,BG11,BG11
329 nm,B,03,0.319861,B03,329,0,UTEX 2973,BG11
329 nm,C,03,0.306878,C03,329,0,UTEX 2973,BG11
329 nm,D,03,0.318311,D03,329,0,UTEX 2973,BG11
329 nm,E,03,0.222774,E03,329,0,BG11,BG11
329 nm,F,03,0.217003,F03,329,0,BG11,BG11
329 nm,G,03,0.219949,G03,329,0,BG11,BG11
330 nm,B,03,0.312123,B03,330,0,UTEX 2973,BG11
330 nm,C,03,0.29949,C03,330,0,UTEX 2973,BG11
330 nm,D,03,0.310444,D03,330,0,UTEX 2973,BG11
330 nm,E,03,0.217082,E03,330,0,BG11,BG11
330 nm,F,03,0.211426,F03,330,0,BG11,BG11
330 nm,G,03,0.2143,G03,330,0,BG11,BG11
331 nm,B,03,0.305807,B03,331,0,UTEX 2973,BG11
331 nm,C,03,0.293499,C03,331,0,UTEX 2973,BG11
331 nm,D,03,0.304265,D03,331,0,UTEX 2973,BG11
331 nm,E,03,0.212116,E03,331,0,BG11,BG11
331 nm,F,03,0.206691,F03,331,0,BG11,BG11
331 nm,G,03,0.209472,G03,331,0,BG11,BG11
332 nm,B,03,0.299846,B03,332,0,UTEX 2973,BG11
332 nm,C,03,0.287724,C03,332,0,UTEX 2973,BG11
332 nm,D,03,0.298236,D03,332,0,UTEX 2973,BG11
332 nm,E,03,0.207218,E03,332,0,BG11,BG11
332 nm,F,03,0.201905,F03,332,0,BG11,BG11
332 nm,G,03,0.204476,G03,332,0,BG11,BG11
333 nm,B,03,0.294016,B03,333,0,UTEX 2973,BG11
333 nm,C,03,0.282164,C03,333,0,UTEX 2973,BG11
333 nm,D,03,0.29247,D03,333,0,UTEX 2973,BG11
333 nm,E,03,0.202284,E03,333,0,BG11,BG11
333 nm,F,03,0.197219,F03,333,0,BG11,BG11
333 nm,G,03,0.199709,G03,333,0,BG11,BG11
334 nm,B,03,0.288683,B03,334,0,UTEX 2973,BG11
334 nm,C,03,0.277052,C03,334,0,UTEX 2973,BG11
334 nm,D,03,0.287303,D03,334,0,UTEX 2973,BG11
334 nm,E,03,0.197596,E03,334,0,BG11,BG11
334 nm,F,03,0.192667,F03,334,0,BG11,BG11
334 nm,G,03,0.195126,G03,334,0,BG11,BG11
